please         : 7
YOU            : 7
shell          : 7
anchors        : 7
takes          : 7
show           : 7
rigging        : 7
signs          : 7
Before         : 7
total          : 7
hiva           : 7
Nobody         : 7
Sellers        : 7
easy           : 7
tackle         : 7
letters        : 7
served         : 7
ourselves      : 7
gusts          : 7
tobe           : 7
moving         : 7
vainly         : 7
tons           : 7
rise           : 7
McVeigh        : 7
abruptly       : 7
savvee         : 7
nearer         : 7
tanks          : 7
dashed         : 7
Caulfeild      : 7
cause          : 7
landed         : 7
tables         : 7
within         : 7
fine           : 7
heart          : 7
sore           : 7
fire           : 7
tight          : 7
covered        : 7
anywhere       : 7
Tahitian       : 7
ketch          : 7
succeeded      : 7
cockpit        : 7
column         : 7
begin          : 7
likewise       : 7
current        : 7
cocoanuts      : 7
salary         : 6
O              : 6
Suva           : 6
pipe           : 6
These          : 6
countless      : 6
average        : 6
sheets         : 6
dynamo         : 6
stream         : 6
palms          : 6
bank           : 6
remember       : 6
stay           : 6
cattle         : 6
seems          : 6
staunch        : 6
Dr             : 6
TO             : 6
suit           : 6
burned         : 6
presented      : 6
faith          : 6
charge         : 6
unbroken       : 6
fun            : 6
London         : 6
FOR            : 6
understand     : 6
larger         : 6
brush          : 6
wash           : 6
eaters         : 6
ways           : 6
whereupon      : 6
strike         : 6
master         : 6
afraid         : 6
runs           : 6
spite          : 6
finished       : 6
paper          : 6
smashed        : 6
saying         : 6
gentle         : 6
Jack           : 6
Nothing        : 6
elephantiasis  : 6
savage         : 6
backs          : 6
remaining      : 6
primitive      : 6
vast           : 6
weak           : 6
leap           : 6
accepted       : 6
Small          : 6
condition      : 6
generous       : 6
sport          : 6
leg            : 6
fashion        : 6
quick          : 6
wildly         : 6
Even           : 6
danger         : 6
holes          : 6
altogether     : 6
fully          : 6
hooks          : 6
furthermore    : 6
marked         : 6
Cross          : 6
consideration  : 6
pure           : 6
lies           : 6
rider          : 6
recruits       : 6
list           : 6
giving         : 6
escape         : 6
neither        : 6
breadfruit     : 6
talk           : 6
answered       : 6
charging       : 6
dollar         : 6
bacillus       : 6
northeast      : 6
rim            : 6
ours           : 6
taboo          : 6
Lord           : 6
theworld       : 6
king           : 6
move           : 6
Saturday       : 6
makes          : 6
physicians     : 6
nobody         : 6
Chinese        : 6
tremendous     : 6
hair           : 6
sank           : 6
try            : 6
speech         : 6
sixteen        : 6
midst          : 6
lungs          : 6
invited        : 6
nuts           : 6
love           : 6
recruit        : 6
shade          : 6
shark          : 6
recovered      : 6
picked         : 6
seat           : 6
souls          : 6
flower         : 6
single         : 6
knot           : 6
changed        : 6
navigators     : 6
lights         : 6
resolved       : 6
returned       : 6
groaned        : 6
thinks         : 6
Hilo           : 6
stronger       : 6
slope          : 6
foregoing      : 6
reckoning      : 6
Between        : 6
Each           : 6
temperature    : 6
steer          : 6
promptly       : 6
Samoa          : 6
rear           : 6
canvas         : 6
luck           : 6
daily          : 6
sheet          : 6
North          : 6
dinner         : 6
ordinary       : 6
Besides        : 6
bunch          : 6
scores         : 6
apprehension   : 6
sing           : 6
travelled      : 6
painful        : 6
Suppose        : 6
ears           : 6
path           : 6
feat           : 6
etexts         : 6
breath         : 6
stiff          : 6
healthy        : 6
andhe          : 6
family         : 6
positions      : 6
inhabitants    : 6
fourteen       : 6
burst          : 6
trysail        : 6
throughthe     : 6
climbing       : 6
encountered    : 6
pulling        : 6
bananas        : 6
traders        : 6
couple         : 6
movement       : 6
increased      : 6
ate            : 6
described      : 6
bad            : 6
bay            : 6
deal           : 6
joined         : 6
bet            : 6
bailing        : 6
explained      : 6
angle          : 6
miserable      : 6
conditions     : 6
Such           : 6
storm          : 6
rock           : 6
Sometimes      : 6
dolphins       : 5
empty          : 5
fellows        : 5
Marquesan      : 5
performed      : 5
possession     : 5
heaving        : 5
business       : 5
pound          : 5
asmall         : 5
Peter          : 5
meaning        : 5
apple          : 5
mate           : 5
Futuna         : 5
existence      : 5
advantage      : 5
exception      : 5
awful          : 5
Ah             : 5
precisely      : 5
ere            : 5
flies          : 5
screen         : 5
races          : 5
paddled        : 5
harder         : 5
Bert           : 5
whichis        : 5
Su             : 5
attempted      : 5
play           : 5
proceeded      : 5
strain         : 5
diet           : 5
addition       : 5
blowing        : 5
hurt           : 5
thecrater      : 5
garlanded      : 5
delight        : 5
wooden         : 5
misunderstood  : 5
sufficient     : 5
flowing        : 5
oh             : 5
bridge         : 5
sighted        : 5
teach          : 5
barbed         : 5
earthquake     : 5
purpose        : 5
reader         : 5
lack           : 5
considered     : 5
thatthe        : 5
ends           : 5
repeatedly     : 5
beef           : 5
strapping      : 5
upward         : 5
Get            : 5
Japan          : 5
ina            : 5
pool           : 5
masses         : 5
confident      : 5
lashed         : 5
April          : 5
everywhere     : 5
worst          : 5
bones          : 5
job            : 5
miracle        : 5
equivalent     : 5
waterfalls     : 5
alive          : 5
level          : 5
afloat         : 5
raised         : 5
shoreward      : 5
leak           : 5
hewould        : 5
tired          : 5
lead           : 5
greatest       : 5
spoke          : 5
solid          : 5
Mellon         : 5
adventure      : 5
Magnetic       : 5
clad           : 5
remembered     : 5
low            : 5
clip           : 5
York           : 5
villages       : 5
ofhis          : 5
bill           : 5
club           : 5
custom         : 5
permission     : 5
mention        : 5
becomes        : 5
physical       : 5
suffering      : 5
azure          : 5
lotus          : 5
Everything     : 5
detail         : 5
copyright      : 5
affliction     : 5
statement      : 5
market         : 5
cruise         : 5
ballast        : 5
drag           : 5
frail          : 5
coal           : 5
ancient        : 5
pump           : 5
drop           : 5
superior       : 5
isthe          : 5
copy           : 5
Both           : 5
note           : 5
begins         : 5
flight         : 5
About          : 5
Among          : 5
ravage         : 5
listen         : 5
account        : 5
donkeys        : 5
awning         : 5
procession     : 5
funeral        : 5
announced      : 5
Australian     : 5
arrival        : 5
holding        : 5
westward       : 5
moved          : 5
therefore      : 5
smashing       : 5
sextant        : 5
meantime       : 5
future         : 5
hosts          : 5
noticed        : 5
view           : 5
Ditch          : 5
slide          : 5
personal       : 5
compared       : 5
sit            : 5
Itwas          : 5
son            : 5
managed        : 5
growing        : 5
smooth         : 5
shooting       : 5
scratch        : 5
telling        : 5
tin            : 5
savages        : 5
Gate           : 5
gained         : 5
withthe        : 5
toe            : 5
dying          : 5
waited         : 5
returning      : 5
possibly       : 5
hewas          : 5
Print          : 5
wood           : 5
lose           : 5
Fijis          : 5
Oregon         : 5
deported       : 5
sleeping       : 5
shape          : 5
pounding       : 5
expected       : 5
sounded        : 5
explaining     : 5
smote          : 5
formed         : 5
familiar       : 5
limes          : 5
Suava          : 5
heal           : 5
occupied       : 5
scarlet        : 5
precious       : 5
proud          : 5
send           : 5
observations   : 5
numerous       : 5
youth          : 5
magazine       : 5
bunk           : 5
