Way            : 2
Heroes         : 2
Clothes        : 2
program        : 2
Pistol         : 2
Afternoon      : 2
laws           : 2
Neighbour      : 2
GET            : 2
Country        : 2
throttle       : 2
lazy           : 2
Soldier        : 2
Monster        : 2
grown          : 2
Fee            : 2
lays           : 2
proofread      : 2
archive        : 2
Sexes          : 2
Pertness       : 2
Wit            : 2
point          : 2
Virgin         : 2
grieves        : 2
deserve        : 2
Only           : 2
clean          : 2
Shepherd       : 2
Pistols        : 2
Bribe          : 2
venture        : 2
LIMITED        : 2
Sale           : 2
Fly            : 2
Half           : 2
Wolves         : 2
meet           : 2
charmingly     : 2
ASCII          : 2
hold           : 2
convinc        : 2
Cards          : 2
Fox            : 2
Hang           : 2
reckon         : 2
additional     : 2
Language       : 2
soften         : 2
sold           : 2
material       : 2
Coquettes      : 2
Chest          : 2
hood           : 2
Pounds         : 2
Chorus         : 2
serve          : 2
Sentence       : 2
Baggage        : 2
heart          : 2
quieting       : 2
appears        : 2
hour           : 2
Pray           : 2
Drury          : 2
Fellows        : 2
Blood          : 2
Stage          : 2
EBCDIC         : 2
Prejudice      : 2
adieu          : 2
After          : 2
Shilling       : 2
Delight        : 2
Gay            : 2
Sorrows        : 2
Aside          : 2
decreed        : 2
Pound          : 2
Satisfaction   : 2
zip            : 2
itself         : 2
damages        : 2
Cheat          : 2
nice           : 2
forgot         : 2
runs           : 2
clearly        : 2
Coach          : 2
JEMMY          : 2
Quadrille      : 2
Watches        : 2
according      : 2
jealous        : 2
Tyburn         : 2
Tell           : 2
Liberties      : 2
scorn          : 2
Sheriff        : 2
Part           : 2
SMALL          : 2
French         : 2
oblige         : 2
swing          : 2
fast           : 2
heeds          : 2
Twelve         : 2
respect        : 2
united         : 2
Doxy           : 2
Ditty          : 2
Down           : 2
moves          : 2
Crying         : 2
Back           : 2
strangely      : 2
silver         : 2
HAVE           : 2
Direction      : 2
tender         : 2
oblig          : 2
rob            : 2
Flirt          : 2
rol            : 2
abroad         : 2
Dress          : 2
Muses          : 2
Maid           : 2
Difficulties   : 2
Ground         : 2
Cheats         : 2
using          : 2
prairienet     : 2
broke          : 2
apt            : 2
Sirrah         : 2
Association    : 2
Pretty         : 2
Learn          : 2
Gratitude      : 2
view           : 2
Quarrels       : 2
Bring          : 2
Irish          : 2
leaving        : 2
Nimming        : 2
Leave          : 2
Notes          : 2
Mary           : 2
Scruples       : 2
bone           : 2
editing        : 2
Hen            : 2
Mate           : 2
fancy          : 2
Jilt           : 2
case           : 2
Estate         : 2
Yonder         : 2
care           : 2
His            : 2
simple         : 2
INCLUDING      : 2
shun           : 2
Turns          : 2
requited       : 2
Rogues         : 2
sav            : 2
also           : 2
kist           : 2
strong         : 2
affect         : 2
Roses          : 2
Disgrace       : 2
indicate       : 2
Neck           : 2
ACT            : 2
WARRANTY       : 2
Swallow        : 2
Fetters        : 2
Furies         : 2
dishonest      : 2
six            : 2
Livelihood     : 2
false          : 2
Widows         : 2
bid            : 2
bit            : 2
Example        : 2
join           : 2
large          : 2
Robin          : 2
betraying      : 2
theirs         : 2
constant       : 2
stands         : 2
directly       : 2
different      : 2
Condemn        : 2
Before         : 2
behind         : 2
tastes         : 2
box            : 2
ANY            : 2
Tavern         : 2
PRINT          : 2
ponder         : 2
Hills          : 2
otherthings    : 2
Betters        : 2
accept         : 2
Such           : 2
Coming         : 2
Question       : 2
Cambric        : 2
sink           : 2
sing           : 2
doing          : 2
proprietary    : 2
bounces        : 2
ones           : 2
answerable     : 2
derive         : 2
dispute        : 2
tremble        : 2
Gagg           : 2
pacified       : 2
readable       : 2
greatest       : 2
satisfy        : 2
While          : 2
Dreary         : 2
